S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
4791,42054.74768,2,1,3,2,3,3,3,Very difficult,3,6,7,3,1,PC,42,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Gold V,NA,5,2,4,2,4,4,4,1,0,0,2,1,1,1,3,4,1,1,4,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,17,20,35
4792,42054.74769,0,0,2,1,1,1,0,Somewhat difficult,3,5,6,4,1,PC,15,I play for fun,Not feeling the pain my mind can inflict on me,Master,NA,10,1,0,2,1,1,0,2,3,2,1,0,1,0,1,2,0,0,2,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,19,17
4793,42054.74769,1,0,1,1,1,0,0,Not difficult at all,6,6,6,6,6,PC,16,I play for fun,having fun,Gold,NA,10,0,2,0,2,0,0,0,3,2,0,2,0,0,0,1,0,0,4,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,30,12
4794,42054.7477,0,0,0,1,1,1,0,Not difficult at all,4,5,5,2,3,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,diamond,NA,10,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,19,5
4795,42054.74771,2,0,2,2,0,2,0,Somewhat difficult,2,5,2,4,1,PC,4,I play for fun,having fun,NA,NA,4,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,Male,29,Employed,Multiplayer - online - with strangers,Accept,8,14,7
4796,42054.74771,2,2,1,1,3,1,3,Very difficult,2,3,1,2,1,PC,1,I play for fun,improving,NA,NA,20,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,13,9,45
4797,42054.74772,0,1,0,0,1,0,0,Not difficult at all,5,4,6,5,4,PC,20,I play for fun,improving,Bronze 4,NA,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,2,24,8
4798,42054.74772,0,0,1,0,0,0,0,Not difficult at all,4,5,6,5,3,PC,15,I play for fun,having fun,Plat IV,NA,10,2,2,0,1,0,0,1,0,2,1,1,0,1,2,2,1,1,3,Male,18,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,1,23,17
4799,42054.74773,0,0,1,0,0,1,0,Somewhat difficult,4,3,6,6,4,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,"Top team(DP2), Plat 3(LoL)",NA,3,1,0,1,2,0,2,0,1,0,1,1,0,1,0,0,0,1,1,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,2,23,11
4800,42054.74775,2,2,3,1,0,1,0,Very difficult,2,2,1,2,1,PC,3,I play for fun,improving,"Not played ranked yet, was Platinum 2 last season",NA,30,1,0,1,2,3,3,0,1,1,0,3,4,1,2,3,0,0,2,Male,25,Student at college / university,Multiplayer - online - with real life friends,Accept,9,8,25
4801,42054.74776,0,1,2,1,1,0,0,Not difficult at all,5,6,3,4,3,PC,20,I play for fun,improving,Silver 1 (CS) Silver 5 (lol),NA,10,0,0,0,1,2,0,1,0,0,1,0,1,0,1,1,0,0,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,5,21,8
4802,42054.74776,1,1,2,0,1,0,1,Not difficult at all,3,4,6,5,1,PC,24,I play for fun,improving,silver 3,NA,5,0,1,1,0,0,0,1,2,1,0,2,0,0,2,1,0,2,2,Male,26,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,6,19,13
4803,42054.74778,3,3,3,3,1,1,0,Somewhat difficult,2,5,3,2,5,PC,15,I play for fun,winning,Gold 3,NA,21,0,2,2,3,1,3,0,1,0,1,2,0,0,1,2,0,2,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,14,17,20
4804,42054.74785,0,0,0,0,1,1,0,Not difficult at all,2,3,2,2,6,PC,15,I play for fun,improving,Diamond 5,NA,3,1,3,3,3,4,2,2,4,4,2,4,4,1,4,3,2,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,2,15,46
4805,42054.74788,1,1,1,0,0,1,0,Not difficult at all,3,6,6,3,3,PC,21,I play for fun,improving,Silver 1,NA,21,0,1,0,1,0,1,2,0,1,0,2,0,0,1,0,0,0,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,4,21,9
4806,42054.7479,2,1,1,0,0,1,0,Somewhat difficult,3,2,2,2,2,PC,25,I play for fun,improving,Gold 5,NA,12,0,1,0,4,0,1,0,2,2,3,4,1,1,3,2,0,1,2,Male,21,Employed,Singleplayer,NA,5,11,25
4807,42054.74791,1,1,1,1,0,1,0,Not difficult at all,3,4,1,1,7,PC,50,I play for fun,improving,plat,NA,5,0,0,0,0,0,0,0,2,3,0,4,0,0,1,0,0,0,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,5,16,10
4808,42054.74796,2,2,2,2,0,0,1,Somewhat difficult,2,6,3,3,1,PC,10,I play for fun,relaxing,Silver 3,NA,10,1,0,1,0,3,3,1,0,1,0,2,2,1,1,1,0,2,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,9,15,19
4809,42054.74796,1,1,1,1,0,1,1,Somewhat difficult,7,7,6,7,1,PC,20,I play for fun,winning,Gold 3,NA,2,1,0,0,1,3,0,0,0,0,1,4,3,0,3,3,0,1,2,Male,26,Employed,Multiplayer - online - with real life friends,Accept,6,28,20
4810,42054.74797,0,0,0,1,1,1,0,Extremely difficult,3,6,3,3,4,PC,25,I play for fun,having fun,Platinum 2,NA,15,0,4,1,3,0,3,3,3,4,3,3,0,0,3,4,3,3,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,3,19,40
4811,42054.74797,0,0,0,0,0,0,0,Not difficult at all,7,7,7,5,6,PC,35,I play for fun,i have fun when i see myself getting better at the game,diamond,NA,4,1,1,0,2,1,2,0,0,0,1,3,1,0,1,0,0,0,1,Male,19,Student at school,Multiplayer - online - with real life friends,Accept,0,32,13
4812,42054.74798,1,1,2,1,0,2,3,Somewhat difficult,2,6,3,1,2,PC,12,I play for fun,having fun,Plat 5,NA,3,1,4,2,2,0,3,1,4,4,1,4,3,0,3,1,0,1,2,Male,21,Employed,Multiplayer - online - with real life friends,Accept,10,14,34
4813,42054.74799,2,1,2,2,1,3,0,Very difficult,4,3,5,3,2,PC,24,I play for fun,improving,Diamond 4,NA,5,0,0,3,1,1,2,3,3,4,0,1,3,0,3,3,0,0,5,Male,19,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,11,17,27
4814,42054.74802,0,0,1,0,0,0,0,Not difficult at all,6,5,5,5,3,"Console (PS, Xbox, ...)",20,I play for fun,having fun,none,NA,0,0,0,4,4,1,3,2,4,4,2,4,2,2,2,2,2,2,1,Male,21,Employed,Singleplayer,Accept,1,24,40
4815,42054.74802,0,0,0,0,0,0,0,Not difficult at all,3,3,3,4,4,PC,30,I play for fun,having fun,Silver,NA,2,1,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,0,1,Male,19,Employed,Multiplayer - online - with strangers,Accept,0,17,8
4816,42054.74803,0,0,0,1,1,1,0,Not difficult at all,3,6,6,6,3,PC,20,I play for fun,improving,Gold 2,NA,60,0,0,2,3,0,NA,2,4,4,1,4,0,0,1,0,0,2,2,Male,21,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,3,24,NA
4817,42054.74811,0,1,1,0,0,0,1,Not difficult at all,6,6,7,5,1,PC,67,I Play for fun and working on making earn out of it.,improving,Diamond 3,NA,25,3,3,1,2,3,4,0,1,1,0,4,1,0,1,1,3,0,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,3,25,28
4818,42054.74812,0,0,1,1,0,1,0,Somewhat difficult,6,2,5,6,3,PC,10,I play for fun,having fun,NA,NA,1,3,0,3,3,1,3,0,4,4,3,4,0,0,2,3,0,2,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,22,35
4819,42054.74815,0,0,0,1,1,1,0,Not difficult at all,6,5,7,6,7,PC,21,I play for fun,having fun,Silver,NA,5,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,3,31,6
4820,42054.74815,1,1,1,1,2,1,0,Somewhat difficult,2,2,2,2,1,PC,20,I play for fun,improving,Silver,NA,10,2,1,4,3,2,3,0,4,4,3,2,0,0,4,3,4,3,1,Female,21,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,7,9,42
4821,42054.74817,0,0,0,0,0,1,0,Not difficult at all,4,3,3,4,2,PC,40,I play for fun,Winning while having fun,Silver :(,NA,2,0,0,0,2,0,1,0,1,3,0,1,0,0,0,0,0,0,2,Male,21,Unemployed / between jobs,All the above ,Accept,1,16,8
4822,42054.74818,0,0,0,0,0,0,0,NA,4,4,4,5,2,PC,30,I play for fun,winning,NA,NA,10,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,3,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,0,19,7
4823,42054.74822,0,0,0,0,0,0,0,Not difficult at all,5,7,6,1,5,PC,25,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Platinum 3,NA,10,0,3,1,2,2,1,0,0,3,1,3,1,0,1,2,0,0,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,0,24,20
4824,42054.74825,0,0,1,0,0,0,1,Not difficult at all,5,6,6,6,7,PC,6,I play for fun,having fun,Silver,NA,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,2,30,2
4825,42054.74828,3,3,3,0,1,1,1,Somewhat difficult,5,5,3,2,3,PC,15,I play for fun,winning,Silver,NA,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,12,18,2
4826,42054.74832,3,0,3,3,1,1,3,Somewhat difficult,2,5,4,2,1,PC,35,I play for fun,improving,Diamond 3,NA,3,2,0,0,1,0,0,1,0,2,0,4,0,0,1,0,0,1,2,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,14,14,12
4827,42054.74833,0,0,0,0,0,1,0,Not difficult at all,3,6,5,2,3,PC,25,I play for fun,winning,Plat 3,NA,30,0,1,1,1,1,0,1,0,2,0,3,1,2,3,2,1,1,4,Male,25,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,1,19,20
4828,42054.74833,2,0,0,0,2,1,0,Somewhat difficult,4,6,6,5,2,PC,10,I play for fun,having fun,"in cs:go double ak, in league gold",NA,7,1,0,1,2,3,3,1,1,2,0,2,0,0,1,1,0,0,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,5,23,18
4829,42054.74833,1,0,1,0,0,1,1,Somewhat difficult,1,1,1,1,1,PC,35,I play for fun,improving,Gold 2,NA,10,2,2,2,3,0,0,2,1,3,0,4,1,3,1,3,1,3,2,Male,18,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,4,5,31
4830,42054.74833,3,3,3,0,0,1,2,Somewhat difficult,6,5,6,7,3,PC,10,I play for fun,having fun,Silver 1,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Other,18,Student at school,Multiplayer - online - with strangers,Accept,12,27,1
4831,42054.74837,2,1,1,1,0,1,0,Somewhat difficult,2,3,4,5,4,PC,12,I play for fun,relaxing,Silver 5,NA,4,1,0,1,1,2,1,0,0,0,1,1,2,0,1,1,0,0,2,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,6,18,12
4832,42054.7484,1,1,1,2,0,3,1,Somewhat difficult,2,1,2,2,2,PC,30,I play for fun,having fun,"havent ranked yet, last season was plat V",NA,3,1,3,4,3,3,4,3,4,3,1,0,1,1,4,4,3,3,2,Female,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,9,9,45
4833,42054.74849,0,1,2,0,0,0,1,Not difficult at all,5,7,7,7,6,PC,5,I play for fun,having fun,Platinum,NA,0,0,0,0,1,NA,0,0,0,0,0,2,0,0,0,0,0,0,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,4,32,NA
4834,42054.74849,1,0,1,0,0,0,0,Not difficult at all,4,4,6,4,1,PC,14,I play for fun,having fun,Diamond 4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,19,0
4835,42054.74851,1,0,1,0,0,0,0,Somewhat difficult,5,6,5,4,7,PC,30,I play for fun,improving,Gold,NA,10,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,2,27,4
4836,42054.74851,3,3,2,2,0,0,3,Extremely difficult,6,7,7,3,6,PC,3,I play for fun,improving,Silver,NA,10,3,1,0,2,0,1,2,1,0,0,0,0,0,0,0,3,1,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,13,29,14
4837,42054.74852,1,0,1,0,0,1,1,Not difficult at all,5,7,5,4,4,PC,25,I play for fun,having fun,Gold V or IV smt,NA,5,0,1,0,1,2,2,1,0,1,1,1,0,0,1,0,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,4,25,11
4838,42054.74855,0,1,2,0,1,1,1,Not difficult at all,4,5,6,3,3,PC,49,I play for fun,improving,silver 5 ,NA,7,2,0,2,3,1,0,3,3,3,1,2,1,1,1,0,1,3,2,Male,19,Employed,Multiplayer - online - with real life friends,Accept,6,21,27
4839,42054.74858,3,1,3,3,0,3,1,Extremely difficult,2,3,1,6,1,PC,20,I play for fun,improving,Gold IV,NA,30,0,2,4,4,1,3,4,4,4,2,4,3,1,2,1,0,4,4,Male,21,Student at college / university,Singleplayer,Accept,14,13,43
4840,42054.74859,0,0,0,0,0,0,0,Not difficult at all,5,6,5,5,3,PC,30,I play for fun,having fun,NA,NA,2,1,0,2,3,0,2,0,1,4,0,4,0,0,1,2,1,1,1,Male,32,Employed,Multiplayer - online - with strangers,Accept,0,24,22
4841,42054.7486,0,0,1,0,0,0,0,Not difficult at all,5,6,6,4,2,PC,12,I play for fun,winning,Gold,NA,6,0,0,1,1,2,1,0,3,0,1,1,0,0,0,0,0,0,2,Male,22,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,1,23,10
4842,42054.74864,0,0,0,0,0,0,0,Not difficult at all,5,7,5,4,3,PC,25,I play for fun,having fun,gold,NA,0,2,2,1,3,0,2,4,1,2,1,0,0,2,0,3,1,4,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,0,24,28
4843,42054.74867,0,0,0,0,0,0,0,NA,6,4,5,2,2,PC,7,I play for fun,having fun,Bronze,NA,4,0,0,0,3,3,0,1,2,0,0,0,1,0,0,1,0,0,1,Male,36,Employed,Multiplayer - online - with real life friends,Accept,0,19,11
4844,42054.74868,1,2,2,3,0,2,1,Somewhat difficult,1,1,3,2,1,PC,30,I play for fun,winning,Master Guardian Elite,NA,5,2,3,2,4,3,2,1,4,3,3,3,4,1,3,2,2,3,2,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,11,8,45
4846,42054.74872,2,1,2,1,1,2,2,Not difficult at all,5,5,6,6,5,PC,10,I play for fun,improving,Platinum 3,NA,7,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,Male,24,Student at college / university,Multiplayer - online - with strangers,Accept,11,27,8
4847,42054.74875,0,0,1,0,0,1,0,Not difficult at all,3,6,6,5,5,"Console (PS, Xbox, ...)",16,I play for fun,having fun,NA,NA,10,1,1,3,3,2,2,2,3,2,3,4,2,2,2,1,2,1,1,Male,19,Employed,Singleplayer,Accept,2,25,36
4848,42054.74877,0,0,0,0,0,0,1,Not difficult at all,1,1,1,1,2,PC,10,I play for fun,winning,Gold 3,NA,15,1,4,1,3,1,3,0,2,2,2,3,0,0,1,2,1,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,1,6,26
4849,42054.74878,0,0,0,0,0,1,0,Not difficult at all,6,6,5,5,3,PC,25,I play for fun,winning,gold 3,NA,5,0,0,0,1,0,1,1,0,0,2,4,1,0,2,1,0,2,1,Male,18,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,1,25,15
4850,42054.74878,1,2,1,1,2,1,0,Not difficult at all,2,5,4,1,2,PC,5,I play for fun,Both having fun and improving.,Bronze,NA,10,2,3,3,3,3,3,3,4,4,4,4,4,0,0,3,2,2,1,Male,21,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,8,14,47
4851,42054.7488,0,0,0,0,0,2,2,Somewhat difficult,3,6,7,7,3,PC,15,I play for fun,having fun,Gold 5,NA,5,3,2,1,2,0,0,2,1,0,0,4,0,0,1,0,1,1,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,4,26,18
4852,42054.74885,0,0,0,0,0,0,0,NA,5,6,5,5,4,PC,14,I play for fun,improving,Silver 3,NA,10,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,Male,24,Employed,Multiplayer - online - with strangers,Accept,0,25,5
4853,42054.74886,0,0,0,0,2,0,0,Somewhat difficult,5,6,5,2,4,PC,20,I play for fun,improving,platinum 4,NA,4,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,22,7
4854,42054.74888,1,1,1,1,2,0,0,Somewhat difficult,5,6,6,6,2,PC,15,I play for fun,having fun,Platonum,NA,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,2,0,2,3,Male,23,Student at college / university,Multiplayer - online - with strangers,Accept,6,25,11
4855,42054.74889,2,1,1,0,0,0,1,Somewhat difficult,4,2,2,1,3,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,diamond 1,NA,10,2,1,4,4,3,3,4,4,4,2,3,2,1,1,2,3,2,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,12,45
4856,42054.74893,0,0,1,1,0,0,0,Somewhat difficult,2,2,2,2,2,PC,15,I play for fun,improving,Gold III,NA,6,0,4,3,2,3,3,3,3,3,1,4,0,0,2,3,0,2,1,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,2,10,36
4857,42054.74894,1,0,0,1,1,1,0,Not difficult at all,4,4,4,4,2,PC,15,I play for fun,improving,Platinum,NA,NA,1,1,0,1,2,1,0,3,1,0,4,1,0,2,1,1,0,2,Male,18,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,4,18,19
4858,42054.74896,0,0,0,0,0,1,0,Not difficult at all,5,6,4,2,2,PC,25,I play for fun,winning,Gold 4,NA,20,2,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,2,Male,21,Employed,Multiplayer - online - with strangers,Accept,1,19,8
4859,42054.74897,1,2,3,0,0,1,0,Not difficult at all,5,3,6,6,2,PC,36,I play for fun,improving,Bronze 1 ,NA,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,7,22,2
4860,42054.74901,1,1,1,1,1,1,1,Not difficult at all,5,6,6,6,5,PC,2,I play for fun,having fun,NA,NA,5,1,1,2,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,Female,18,Student at college / university,Multiplayer - online - with real life friends,Accept,7,28,10
4861,42054.74901,1,0,0,0,0,0,1,Not difficult at all,2,7,5,7,7,PC,28,I play for fun,improving,Gold,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,2,28,1
4862,42054.74905,0,0,0,0,1,0,0,Not difficult at all,6,6,7,6,7,PC,12,I play for fun,winning,EU: gold NA: Platinum,NA,20,0,0,1,3,0,2,0,0,0,0,0,0,0,2,2,0,0,1,Male,30,Employed,Multiplayer - online - with strangers,Accept,1,32,10
4863,42054.74909,1,1,1,1,0,2,1,Not difficult at all,4,5,5,4,4,PC,5,I play for fun,relaxing,NA,NA,5,0,NA,1,1,2,1,0,1,1,0,1,0,0,2,2,0,0,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,7,22,NA
4864,42054.74919,1,1,0,0,0,1,0,Somewhat difficult,5,6,6,6,5,PC,12,I play for fun,having fun,silver 2,NA,26,0,0,1,2,1,1,0,0,1,1,2,1,0,1,0,0,0,2,Male,19,Student at college / university,Singleplayer,Accept,3,28,11
4865,42054.74926,0,0,0,0,0,0,0,Not difficult at all,2,6,7,2,4,PC,40,I play for fun,having fun,BRONZE 1 BIIITCH,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,0,21,0
4866,42054.74928,0,0,1,0,0,1,0,Somewhat difficult,2,2,3,2,2,PC,15,I play for fun,All of the above with an emphasis on winning.,Silver.,NA,NA,4,2,1,2,1,1,1,3,2,1,1,0,0,1,4,1,4,2,Female,23,Student at college / university,All Multiplayer - Online categories fit.,Accept,2,11,29
4867,42054.74929,0,0,0,0,0,0,0,Not difficult at all,5,6,6,6,4,PC,14,I play for fun,improving,Platinum,NA,2,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,0,27,6
4868,42054.7493,1,1,2,1,0,1,1,Not difficult at all,2,6,4,2,2,PC,25,I play for fun,having fun,Unranked (former gold V),NA,10,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,7,16,5
4869,42054.74931,0,0,0,0,0,1,0,Not difficult at all,3,4,5,5,1,PC,35,I play for fun,winning,Platinum 1,NA,10,1,1,2,3,2,3,1,2,3,3,3,2,1,3,3,1,0,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,1,18,34
4870,42054.74931,1,1,0,0,0,0,0,Very difficult,5,6,5,6,7,PC,7,I play for fun,winning,NA,NA,0,1,1,1,1,2,0,0,3,0,0,4,0,0,1,0,0,0,4,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,2,29,14
4871,42054.74932,2,2,2,2,1,0,1,Somewhat difficult,5,3,3,6,6,"Console (PS, Xbox, ...)",20,I play for fun,relaxing,NA,NA,35,1,2,0,2,4,3,4,0,1,1,0,3,1,1,2,0,1,2,Male,21,Student at college / university,Singleplayer,Accept,10,23,26
4872,42054.74934,1,1,1,0,1,0,0,Not difficult at all,3,3,5,3,3,PC,30,I play for fun,having fun,platinum 1,NA,5,0,1,1,2,1,1,0,0,3,1,1,1,1,1,1,1,1,2,Male,26,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,17,17
4873,42054.74935,0,0,0,0,0,1,0,Very difficult,6,7,2,1,4,PC,15,Keep in touch w/ friends,having fun,Platinum 5 (League),NA,1,1,3,0,1,0,0,4,0,2,0,1,0,0,0,1,0,2,1,Male,18,Student at school,Multiplayer-online-both 4 and 5,Accept,1,20,15
4875,42054.74935,1,1,2,1,1,1,1,Not difficult at all,1,5,2,2,3,PC,40,I play for fun,having fun,NA,NA,28,0,1,4,4,2,4,3,4,2,2,4,0,0,3,3,1,0,3,Male,24,Student at college / university,Singleplayer,Accept,8,13,37
4876,42054.74937,0,0,3,2,0,2,3,Somewhat difficult,2,7,2,6,3,PC,20,"I play for fun, but if there's an opportunity to earn some money, I would love to.",winning,Silver 4,NA,10,1,1,0,1,3,0,1,4,0,0,0,4,0,1,3,0,1,1,Female,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,10,20,20
4877,42054.74938,1,0,1,0,0,0,0,Not difficult at all,4,2,6,5,4,PC,12,I play for fun,improving,Gold,NA,20,1,0,1,2,3,3,1,3,0,0,2,0,0,0,1,0,0,4,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,2,21,17
4878,42054.74941,0,0,0,0,0,0,0,Not difficult at all,6,7,4,7,7,PC,8,I play for fun,having fun,diamond 2,NA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,0,31,3
4879,42054.74942,0,0,1,0,2,2,0,Not difficult at all,2,6,6,5,7,PC,50,I play for fun,having fun,gold,NA,10,0,1,1,0,0,0,2,1,1,0,0,0,0,2,1,0,0,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,5,26,9
4880,42054.74944,0,0,1,0,0,0,0,Not difficult at all,4,3,2,1,1,PC,40,I play for fun,improving,Silver,NA,5,1,4,3,2,4,4,3,4,4,3,2,4,1,4,4,0,3,1,Male,18,Employed,Multiplayer - online - with strangers,Accept,1,11,50
4881,42054.74945,1,0,1,0,0,2,0,Somewhat difficult,5,6,6,4,2,PC,20,I play for fun,having fun,Bronze 2 ,NA,25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,4,23,5
4882,42054.74947,0,0,1,0,3,1,1,Not difficult at all,1,1,1,1,1,PC,10,I play for fun,winning,gold 4,NA,12,4,4,2,4,1,2,1,2,4,3,4,1,1,3,4,3,2,2,Male,25,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,6,5,45
4883,42054.7495,3,3,3,1,1,2,3,Somewhat difficult,2,2,3,4,2,PC,20,I play for fun,improving,Gold 5,NA,10,1,3,2,0,3,1,1,2,1,1,2,1,1,1,1,0,1,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,16,13,22
4884,42054.74951,0,2,2,1,2,3,2,Somewhat difficult,1,2,2,2,1,PC,30,I play for fun,improving,NA,NA,5,2,3,3,4,3,4,4,0,4,3,4,3,3,3,4,1,3,3,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,12,8,51
4885,42054.74951,1,2,3,2,1,1,2,Extremely difficult,1,1,1,1,1,PC,30,It is an escape and only thing I can do with my life at the moment.,improving,Gold,NA,20,2,3,4,4,2,3,3,4,4,3,3,3,0,4,2,2,1,1,Male,33,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,12,5,47
4886,42054.74953,1,1,1,2,2,1,0,Not difficult at all,3,2,4,3,3,PC,6,I play for fun,improving,NA,NA,4,1,2,3,1,2,1,2,1,0,3,3,2,2,1,2,1,2,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,8,15,29
4887,42054.74953,0,0,0,0,0,0,0,Not difficult at all,5,6,6,6,5,PC,10,I play for fun,improving,Silver ,NA,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,18,Student at school,Multiplayer - online - with strangers,Accept,0,28,2
4888,42054.74954,2,1,1,1,1,1,1,Somewhat difficult,5,5,5,5,2,PC,22,I play for fun,improving,NA,NA,0,2,3,4,3,2,3,4,3,4,3,4,1,2,3,3,3,3,1,Female,24,Employed,Multiplayer - online - with strangers,Accept,8,22,50
